lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code,purchases,time_spent,n_visits
2,1.0,2024-01-27,signup,5,False,STWPXVNOWA,0.2,0.5288854718833315,0.33333333333333337
10,0.0,2024-01-11,signup,4,True,JWLXPVANUM,0.5333333333333333,0.6036119253298081,0.06666666666666667
13,0.0,2024-01-22,signup,6,True,WNKCTHUHYI,0.4,0.3394067305703897,0.08888888888888889
17,1.0,2024-01-07,signup,8,False,INIQMTGGOO,0.3333333333333333,0.6181167754362195,0.15555555555555556
19,0.0,2024-01-20,signup,9,True,SJGDAANOYJ,0.2,0.4489190990265489,0.4222222222222223
22,0.0,2024-01-06,signup,3,True,SPWNMQUWDX,0.3333333333333333,0.29164118124530225,0.022222222222222223
27,1.0,2024-01-30,signup,1,True,IAPSPPLUZL,0.13333333333333333,0.6876594598447453,0.31111111111111117
28,1.0,2024-01-11,signup,8,True,EDWMENKILD,0.2,0.17469184807047522,0.46666666666666673
29,0.0,2024-01-09,signup,3,False,DNGAQVVEDN,0.4,0.7241939145793318,0.0
30,1.0,2024-01-20,signup,4,False,WSQVNMPZOH,0.3333333333333333,0.7894524560429227,0.1111111111111111
32,0.0,2024-01-20,signup,9,False,GKIHITQJGU,0.26666666666666666,0.3392691433796068,0.13333333333333333
33,1.0,2024-01-31,signup,4,True,QOVDCTYYGT,0.3333333333333333,0.7510124092398035,0.24444444444444444
36,0.0,2024-01-28,signup,6,True,KYUCVVIKET,0.2,0.4844631434845458,0.06666666666666667
38,1.0,2024-01-02,signup,2,True,HFELNNHTEW,0.3333333333333333,0.7922361774850565,0.17777777777777778
40,0.0,2024-01-01,signup,3,False,HOVYUZIDIO,0.3333333333333333,0.4771570540490663,0.06666666666666667
41,0.0,2024-01-09,signup,6,False,BBRMJIJJBF,0.26666666666666666,0.4475201879482763,0.022222222222222223
43,1.0,2024-01-13,signup,4,False,PWSIBFQQXN,0.7333333333333333,0.47236159437362313,0.2666666666666667
44,0.0,2024-01-31,signup,8,True,XNVURJEHVZ,0.5333333333333333,0.3024717099848314,0.022222222222222223
49,0.0,2024-01-29,signup,1,False,CPADDAXJVL,0.5333333333333333,0.5005136022611826,0.2
55,1.0,2024-01-16,signup,9,False,ZQFIPOQZHG,0.6,0.4613542121027526,0.1111111111111111
57,0.0,2024-01-31,signup,9,False,JFLRBCHQYR,0.4,0.38922916040589983,0.04444444444444444
58,0.0,2024-01-26,signup,7,True,SOMOYBNEQM,0.8,0.5227278254462194,0.1111111111111111
61,0.0,2024-01-03,signup,6,True,BTDCFQUACC,0.4,0.5743120815378239,0.2888888888888889
68,0.0,2024-01-02,signup,9,False,HTUIUEAPSS,0.4,0.44325573969923815,0.08888888888888889
72,0.0,2024-01-15,signup,5,True,KQAKBGLQBJ,0.26666666666666666,0.640125096153135,0.022222222222222223
87,1.0,2024-01-26,signup,7,False,XJMJZQDDJC,0.2,0.6827901210371626,0.2
88,1.0,2024-01-19,signup,5,False,ILBYCVCCZP,0.3333333333333333,0.41449430894330164,0.08888888888888889
93,1.0,2024-01-12,signup,3,True,BNJNDMKIOK,0.4666666666666667,0.737641965581696,0.15555555555555556
95,0.0,2024-01-07,signup,1,False,JBJDCNSVYQ,0.3333333333333333,0.5306496270434643,0.08888888888888889
97,0.0,2024-01-12,signup,3,False,EVTQSTMJAY,0.13333333333333333,0.5614006989366808,0.22222222222222224
104,1.0,2024-01-02,signup,1,True,IROQPSWYUC,0.26666666666666666,0.29020875569706106,0.31111111111111117
107,1.0,2024-01-17,signup,2,True,YHGCDBUZOO,0.6666666666666666,0.5604189141808583,0.2666666666666667
109,0.0,2024-01-23,signup,2,True,TUKZRKNGZC,0.2,0.4469978820631021,0.0
110,0.0,2024-01-01,signup,4,True,NWTUJSIWDD,0.4,0.6333990101205781,0.06666666666666667
112,1.0,2024-01-18,signup,4,True,BPQXMGSSGK,0.2,0.6080719748300091,0.13333333333333333
116,1.0,2024-01-28,signup,3,False,ANVCOQDWPG,0.26666666666666666,0.543732106715184,0.5555555555555556
126,1.0,2024-01-12,signup,3,True,NBUXBYCSKE,0.26666666666666666,0.4300864488675772,0.4
130,0.0,2024-01-04,signup,5,True,FBOBLIOYHV,0.3333333333333333,0.6773067076212319,0.08888888888888889
133,0.0,2024-01-12,signup,5,True,TLHITDPRSA,0.4666666666666667,0.42699590211601535,0.1111111111111111
141,0.0,2024-01-01,signup,7,False,JMFONJZUPE,0.4,0.27469103519489957,0.15555555555555556
142,0.0,2024-01-17,signup,9,False,KNDCQISUNM,0.26666666666666666,0.6784063870404601,0.15555555555555556
146,1.0,2024-01-25,signup,9,False,UKEAVDRBIM,0.5333333333333333,0.5338719753799771,0.4444444444444445
148,0.0,2024-01-13,signup,2,True,VIQNDTATLY,0.2,0.6754688548212012,0.1111111111111111
152,0.0,2024-01-29,signup,2,False,PKMEXRHJWN,0.4666666666666667,0.5438258503223098,0.022222222222222223
160,0.0,2024-01-23,signup,7,False,PJACVAGSNN,0.5333333333333333,0.9002927045523893,0.022222222222222223
167,0.0,2024-01-18,signup,1,False,MNCSDIPRDF,0.4,0.4413691253336661,0.06666666666666667
169,1.0,2024-01-20,signup,6,False,CNNNKVXVBZ,0.26666666666666666,0.5262419388631113,0.2888888888888889
183,1.0,2024-01-06,signup,5,True,LUBQTNWDCM,0.4,0.7731445519485972,0.24444444444444444
185,1.0,2024-01-02,signup,9,False,AACEDUWABX,0.3333333333333333,0.6389855718390997,0.6666666666666666
186,1.0,2024-01-12,signup,9,False,QGGDGUBOFX,0.2,0.6638731975751796,0.7111111111111111
188,1.0,2024-01-04,signup,9,True,ETCMPIAOPD,0.06666666666666667,0.32187811356765683,0.5555555555555556
189,0.0,2024-01-23,signup,5,True,VOOTYELWHE,0.4,0.570883277773584,0.08888888888888889
190,0.0,2024-01-13,signup,5,False,CXUUCQWNNU,0.2,0.4460685691942595,0.0
191,1.0,2024-01-17,signup,2,False,CTTBPSFQGY,0.4666666666666667,0.6160307139533779,0.3777777777777778
194,0.0,2024-01-09,signup,4,False,OWBEEKDLKJ,0.4,0.4336782778437994,0.17777777777777778
197,1.0,2024-01-01,signup,2,True,VDNVRNQBWI,0.2,0.7275707248087867,0.2666666666666667
200,1.0,2024-01-05,signup,5,True,JBIJNXCLSV,0.13333333333333333,0.5311660118284051,0.22222222222222224
204,1.0,2024-01-20,signup,2,False,DIEBKIQXIE,0.26666666666666666,0.37748925018034163,0.2666666666666667
211,1.0,2024-01-29,signup,7,False,PLTYLCEFBO,0.26666666666666666,0.543265983558919,0.2666666666666667
212,1.0,2024-01-18,signup,8,False,UXHKQSMYVV,0.3333333333333333,0.6920293044127671,0.33333333333333337
213,0.0,2024-01-27,signup,1,True,ZOYWTXPOZY,0.06666666666666667,0.48028277064073144,0.022222222222222223
214,1.0,2024-01-20,signup,5,True,JNWPKXCSSO,0.3333333333333333,0.4639679886037892,0.31111111111111117
215,0.0,2024-01-04,signup,8,False,VUZLWIFHQJ,0.6,0.40348519226315893,0.1111111111111111
221,1.0,2024-01-14,signup,6,False,MKSYUTUPJP,0.26666666666666666,0.6340259714148443,0.24444444444444444
227,0.0,2024-01-27,signup,2,False,FJPJFRMSBU,0.26666666666666666,0.4880229886780004,0.08888888888888889
230,1.0,2024-01-22,signup,9,False,EQOMPRQEWY,0.3333333333333333,0.5028764368513728,0.15555555555555556
234,0.0,2024-01-06,signup,6,False,WDCBAOBGWP,0.3333333333333333,0.5128593635865774,0.1111111111111111
235,1.0,2024-01-26,signup,5,True,YLJXFOVMVA,0.4666666666666667,0.5013380910688264,0.24444444444444444
240,1.0,2024-01-04,signup,7,False,ZYKTZXDHHZ,0.3333333333333333,0.5786138297263655,0.2
246,0.0,2024-01-27,signup,7,True,None,0.26666666666666666,0.711284937563535,0.0
250,0.0,2024-01-18,signup,6,False,FVIKAFWSNY,0.4,0.4566423111965422,0.0
252,1.0,2024-01-19,signup,2,False,KOCYNCMCMV,0.7333333333333333,0.5683975076085112,0.2666666666666667
253,0.0,2024-01-22,signup,9,True,BDQKEYUSMI,0.4666666666666667,0.42847475949376956,0.022222222222222223
256,1.0,2024-01-09,signup,8,True,FSXSWSYZUJ,0.3333333333333333,0.5062039196618272,0.17777777777777778
259,0.0,2024-01-22,signup,9,True,KSFIGBQODL,0.13333333333333333,0.4966517605235111,0.1111111111111111
267,1.0,2024-01-16,signup,4,False,LYBCDYVCHQ,0.3333333333333333,0.7493583244614325,0.4
268,0.0,2024-01-02,signup,8,False,ICDPTWVENR,0.0,0.5417698789022934,0.04444444444444444
270,1.0,2024-01-20,signup,3,True,GOGGTKNAMI,0.26666666666666666,0.5019925567675919,0.24444444444444444
272,1.0,2024-01-03,signup,8,False,MPHAMNJDFG,0.26666666666666666,0.44179595069297284,0.08888888888888889
275,1.0,2024-01-23,signup,5,True,RWQKNZRIVB,0.4666666666666667,0.5248090907094783,0.24444444444444444
276,1.0,2024-01-02,signup,6,True,RGEDZASBRA,0.13333333333333333,0.3218444197598903,0.31111111111111117
279,1.0,2024-01-25,signup,8,True,ZDCQVADSDR,0.3333333333333333,0.4918030109957635,0.24444444444444444
281,0.0,2024-01-05,signup,8,False,XVACGPNCAJ,0.3333333333333333,0.374706863583533,0.06666666666666667
286,0.0,2024-01-30,signup,1,False,VEYIFYUIOP,0.2,0.4351703263000969,0.04444444444444444
293,0.0,2024-01-18,signup,5,False,BWKSTABDJH,0.4,0.38525768045501374,0.04444444444444444
301,1.0,2024-01-12,signup,6,False,HWDYYSGJZR,0.4666666666666667,0.5621852054337003,0.5333333333333333
306,1.0,2024-01-12,signup,9,True,POZJYBRZVJ,0.4666666666666667,0.4951793932836005,0.15555555555555556
314,1.0,2024-01-30,signup,3,False,PVTMUCPXBM,0.26666666666666666,0.26326928781638415,0.33333333333333337
316,0.0,2024-01-11,signup,4,True,DNZYBFEQQX,0.4666666666666667,0.7296040828771172,0.0
320,1.0,2024-01-30,signup,9,False,EPJEEVITQL,0.5333333333333333,0.5894787874425619,0.13333333333333333
321,1.0,2024-01-19,signup,2,False,PXLHFETYFZ,0.2,0.6321524663981085,0.17777777777777778
326,1.0,2024-01-05,signup,4,True,YJUWGABPSV,0.3333333333333333,0.7199812836045024,0.2888888888888889
327,1.0,2024-01-25,signup,4,True,KWPRBKALJZ,0.3333333333333333,0.5614667893415274,0.5333333333333333
338,0.0,2024-01-21,signup,5,True,LXGGISTXEU,0.3333333333333333,0.42990099258108183,0.17777777777777778
345,1.0,2024-01-15,signup,8,False,ZNTKHUJZBI,0.26666666666666666,0.6373834589685151,0.1111111111111111
347,0.0,2024-01-19,signup,9,True,GUHJUXCUAI,0.3333333333333333,0.06632426367426225,0.22222222222222224
349,1.0,2024-01-05,signup,2,True,RUQHWTWNTS,0.3333333333333333,0.48149008572048724,0.17777777777777778
352,1.0,2024-01-13,signup,5,True,PYXIFNVILN,0.4666666666666667,0.43832951368879514,0.488888888888889
353,0.0,2024-01-18,signup,1,True,IXRSKBZDGM,0.26666666666666666,0.4549303890465851,0.0
360,0.0,2024-01-30,signup,1,True,PJRQVNYWKR,0.2,0.6184679445823963,0.0
362,0.0,2024-01-09,signup,2,False,CUOGTVGVLJ,0.13333333333333333,0.5676395698690094,0.022222222222222223
367,1.0,2024-01-10,signup,2,False,JELRVEIWTP,0.13333333333333333,0.6207876214976703,0.17777777777777778
370,0.0,2024-01-30,signup,3,False,AJTXKCIAPG,0.4,0.6933983900187491,0.0
373,1.0,2024-01-21,signup,9,False,GRDBMUTEGG,0.3333333333333333,0.4822830033700761,0.31111111111111117
374,0.0,2024-01-13,signup,4,False,ZYBUMTNCVY,0.26666666666666666,0.6045140183873349,0.0
382,1.0,2024-01-13,signup,9,False,QIRLGHFEYT,0.4666666666666667,0.7550673028185159,0.2888888888888889
385,1.0,2024-01-05,signup,7,True,NEDLCGZVFP,0.2,0.3216571035137884,0.2666666666666667
388,1.0,2024-01-28,signup,2,True,JZUSHCNZAY,0.06666666666666667,0.314823929471172,0.17777777777777778
391,0.0,2024-01-26,signup,8,True,YGLLRNOUHW,0.2,0.7839681105653072,0.0
400,0.0,2024-01-20,signup,5,False,USEDQJJTXO,0.6666666666666666,0.6142098953320115,0.0
401,1.0,2024-01-23,signup,8,False,MHSUUXYIIR,0.13333333333333333,0.32930394281418096,0.15555555555555556
404,0.0,2024-01-09,signup,6,True,IGCIXTLQSM,0.2,0.5285370846035525,0.06666666666666667
406,0.0,2024-01-19,signup,8,False,DQBBZCLEKF,0.26666666666666666,0.324723650456603,0.0
419,1.0,2024-01-27,signup,8,True,AOOQECTXNK,0.2,0.7009230307028237,0.1111111111111111
423,0.0,2024-01-06,signup,3,False,EPMDFKOEUJ,0.3333333333333333,0.47281538721547356,0.08888888888888889
426,0.0,2024-01-21,signup,7,True,YFROGHEYSX,0.4666666666666667,0.6317522145202362,0.15555555555555556
427,1.0,2024-01-01,signup,6,True,LGZDTMNLJY,0.2,0.44491970265336545,0.15555555555555556
430,0.0,2024-01-28,signup,7,False,SNDYIUCQAE,0.13333333333333333,0.6170627355867836,0.04444444444444444
432,1.0,2024-01-20,signup,4,False,JHAOJJIWCW,0.5333333333333333,0.6991375276735071,0.2888888888888889
436,0.0,2024-01-05,signup,5,True,QDOAFZIIST,0.26666666666666666,0.3599990777093308,0.022222222222222223
438,1.0,2024-01-15,signup,8,True,ADKNQXITXD,0.3333333333333333,0.6009553115369951,0.5333333333333333
445,1.0,2024-01-08,signup,1,False,COQGIQDKJZ,0.6666666666666666,0.4848304503549036,0.31111111111111117
449,0.0,2024-01-29,signup,3,True,XESIROZJQI,0.26666666666666666,0.48838046388510603,0.08888888888888889
451,1.0,2024-01-11,signup,2,False,QNQSVXSEUL,0.2,0.6207308253626417,0.5555555555555556
452,0.0,2024-01-13,signup,1,False,PABKNFJTAM,0.2,0.23013037956154536,0.1111111111111111
459,0.0,2024-01-19,signup,1,False,KJJLWOBSQO,0.2,0.26768589910263973,0.33333333333333337
463,1.0,2024-01-31,signup,1,True,AEMOQPZTTB,0.2,0.682993569837257,0.46666666666666673
501,1.0,2024-01-06,signup,3,False,UTIMHHOHJP,0.2,0.5543444198292785,0.33333333333333337
505,0.0,2024-01-10,signup,7,True,YDSYXTXNUN,0.3333333333333333,0.4598011397183287,0.08888888888888889
512,1.0,2024-01-20,signup,5,False,MAHSOLTKEW,0.2,0.5286451900919568,0.31111111111111117
519,0.0,2024-01-24,signup,5,True,MFELPVBLUU,0.26666666666666666,0.5662077534603421,0.022222222222222223
523,1.0,2024-01-25,signup,4,False,IKLMFEYYHN,0.3333333333333333,0.5582069841434073,0.33333333333333337
525,0.0,2024-01-10,signup,1,False,XYECIRVNCY,0.4666666666666667,0.38130786178326603,0.2
526,0.0,2024-01-17,signup,6,True,PVDXFBWPGM,0.3333333333333333,0.28292605325958353,0.022222222222222223
527,0.0,2024-01-29,signup,5,True,RVMSZZDPNQ,0.4,0.21723031050951602,0.04444444444444444
528,0.0,2024-01-08,signup,8,False,SACGVDYWXR,0.3333333333333333,0.4746062880004357,0.17777777777777778
